"","actor","subject","date","crowd","displace","total.DC"
"606","GBB","RGR","2020-03-29",1,0,1
"607","GBB","RRR","2020-03-29",0,6,6
"608","GBG","BBB","2020-03-29",0,3,3
"609","GBG","BRB","2020-03-29",0,2,2
"610","GBG","BRR","2020-03-29",1,0,1
"611","GBG","GGB","2020-03-29",0,2,2
"612","GBG","GGG","2020-03-29",1,4,5
"613","GBG","RBG","2020-03-29",0,1,1
"614","GBG","RGR","2020-03-29",1,2,3
"615","GBG","RRG","2020-03-29",1,1,2
"616","GGB","BBB","2020-03-29",0,5,5
"617","GGB","BBR","2020-03-29",0,2,2
"618","GGB","BGB","2020-03-29",0,3,3
"619","GGB","BGG","2020-03-29",0,2,2
"620","GGB","BRB","2020-03-29",0,1,1
"621","GGB","BRR","2020-03-29",1,11,12
"622","GGB","GBG","2020-03-29",1,0,1
"623","GGB","GGG","2020-03-29",1,23,24
"624","GGB","GGR","2020-03-29",0,5,5
"625","GGB","GRR","2020-03-29",0,2,2
"626","GGB","RBB","2020-03-29",0,2,2
"627","GGB","RBG","2020-03-29",0,4,4
"628","GGB","RBR","2020-03-29",0,1,1
"629","GGB","RGG","2020-03-29",0,4,4
"630","GGB","RGR","2020-03-29",0,1,1
"631","GGB","RRG","2020-03-29",1,0,1
"632","GGB","RRR","2020-03-29",1,4,5
"633","GGG","BBB","2020-03-29",1,1,2
"634","GGG","BGG","2020-03-29",0,1,1
"635","GGG","BRB","2020-03-29",0,1,1
"636","GGG","GGR","2020-03-29",0,2,2
"637","GGG","RBB","2020-03-29",1,4,5
"638","GGG","RBG","2020-03-29",0,1,1
"639","GGG","RBR","2020-03-29",0,2,2
"640","GGG","RGR","2020-03-29",1,2,3
"641","GGG","RRG","2020-03-29",0,2,2
"642","GGG","RRR","2020-03-29",0,1,1
"643","GGR","BBB","2020-03-29",0,1,1
"644","GGR","BBR","2020-03-29",0,1,1
"645","GGR","BRR","2020-03-29",1,0,1
"646","GRG","BBB","2020-03-29",2,4,6
"647","GRG","BBR","2020-03-29",0,1,1
"648","GRG","BRB","2020-03-29",0,3,3
"649","GRG","GGB","2020-03-29",2,11,13
"650","GRG","GGG","2020-03-29",3,7,10
"651","GRG","GGR","2020-03-29",0,2,2
"652","GRG","RBR","2020-03-29",0,1,1
"653","GRG","RGR","2020-03-29",0,2,2
"654","GRG","RRG","2020-03-29",2,3,5
"655","GRR","BBB","2020-03-29",0,1,1
"656","GRR","BBR","2020-03-29",0,1,1
"657","GRR","BGB","2020-03-29",1,2,3
"658","GRR","BGG","2020-03-29",0,1,1
"659","GRR","BRB","2020-03-29",0,1,1
"660","GRR","GGR","2020-03-29",0,1,1
"661","RBB","BBR","2020-03-29",0,1,1
"662","RBB","GRR","2020-03-29",0,1,1
"663","RBB","RGG","2020-03-29",0,1,1
"664","RBG","BBB","2020-03-29",2,4,6
"665","RBG","BRR","2020-03-29",0,1,1
"666","RBG","GBB","2020-03-29",0,1,1
"667","RBR","BBB","2020-03-29",0,3,3
"668","RBR","BGB","2020-03-29",1,1,2
"669","RBR","BGG","2020-03-29",0,1,1
"670","RBR","BRR","2020-03-29",1,3,4
"671","RBR","GGB","2020-03-29",0,5,5
"672","RBR","GRR","2020-03-29",2,2,4
"673","RBR","RBB","2020-03-29",0,1,1
"674","RBR","RGG","2020-03-29",0,2,2
"675","RBR","RRR","2020-03-29",0,1,1
"676","RGG","BBB","2020-03-29",0,3,3
"677","RGG","BBR","2020-03-29",1,0,1
"678","RGG","RBB","2020-03-29",0,1,1
"679","RGR","BBB","2020-03-29",1,3,4
"680","RGR","BGB","2020-03-29",1,0,1
"681","RGR","BRR","2020-03-29",1,2,3
"682","RGR","GGB","2020-03-29",2,6,8
"683","RGR","GGG","2020-03-29",0,2,2
"684","RGR","GGR","2020-03-29",0,3,3
"685","RGR","RBB","2020-03-29",0,1,1
"686","RGR","RRG","2020-03-29",0,1,1
"687","RRG","BBB","2020-03-29",1,13,14
"688","RRG","BBR","2020-03-29",0,3,3
"689","RRG","BGB","2020-03-29",0,2,2
"690","RRG","BGG","2020-03-29",0,2,2
"691","RRG","BRB","2020-03-29",1,18,19
"692","RRG","BRR","2020-03-29",0,10,10
"693","RRG","GGG","2020-03-29",2,7,9
"694","RRG","GGR","2020-03-29",0,3,3
"695","RRG","GRG","2020-03-29",1,0,1
"696","RRG","GRR","2020-03-29",1,7,8
"697","RRG","RBB","2020-03-29",1,0,1
"698","RRR","BBR","2020-03-29",1,0,1
"699","RRR","BRR","2020-03-29",0,1,1
"700","RRR","GGR","2020-03-29",0,1,1
"701","RRR","GRR","2020-03-29",0,2,2
"702","RRR","RBB","2020-03-29",1,2,3
"703","RRR","RBR","2020-03-29",0,1,1
"704","RRR","RGR","2020-03-29",0,1,1
