"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt55","run056",0.0412576693905816,64,48,0.571428571428571,0.428571428571429,39,31,0.0928571428571429,0.0738095238095238,0.1487,0.0347136329279185,0.819,210,0.938,0.75,0.1487,0.0326762523191095,0.862,210,1,1
"Pt56","run057",-0.0861780165656478,50,62,0.446428571428571,0.553571428571429,31,38,0.0738095238095238,0.0904761904761905,0.1409,0.029455266955267,0.857,210,0.875,0.5,0.1526,0.0403357320889788,0.824,210,0.944,0.778
"Pt57","run058",-0.00568278951212645,65,47,0.580357142857143,0.419642857142857,38,31,0.0904761904761905,0.0738095238095238,0.1519,0.0398132593030553,0.829,210,0.941,0.765,0.1506,0.0261817151102866,0.857,210,1,1
"Pt58","run059",-0.243923011377214,47,65,0.419642857142857,0.580357142857143,34,33,0.080952380952381,0.0785714285714286,0.1532,0.027549989692847,0.848,210,0.667,-0.333,0.1597,0.0325915864181171,0.848,210,1,1
"Pt59","run060",-0.0451219035661731,60,52,0.535714285714286,0.464285714285714,30,37,0.0714285714285714,0.0880952380952381,0.1481,0.0331846724703868,0.867,210,1,1,0.1565,0.030157699443414,0.829,210,0.9,0.6
"Pt60","run061",-0.0588939464589977,50,62,0.446428571428571,0.553571428571429,28,40,0.0666666666666667,0.0952380952380952,0.1383,0.0221690466820336,0.876,210,0.833,0.333,0.1675,0.0440464410872575,0.814,210,1,1
"Pt61","run062",-0.289185869870946,39,73,0.348214285714286,0.651785714285714,30,36,0.0714285714285714,0.0857142857142857,0.1416,0.024443413729128,0.871,210,1,1,0.1513,0.0421296560582276,0.829,210,0.92,0.68
"Pt62","run063",-0.152323653707549,60,52,0.535714285714286,0.464285714285714,35,32,0.0833333333333333,0.0761904761904762,0.1571,0.0392238713667285,0.833,210,1,1,0.1513,0.0268887858173573,0.862,210,0.882,0.529
"Pt63","run064",-0.122977378334028,46,66,0.410714285714286,0.589285714285714,32,35,0.0761904761904762,0.0833333333333333,0.1416,0.0305504019789734,0.857,210,0.75,0,0.1481,0.0355932235153014,0.833,210,0.938,0.75
"Pt64","run065",0.342800665681525,58,54,0.517857142857143,0.482142857142857,34,37,0.080952380952381,0.0880952380952381,0.1494,0.0355782067516761,0.843,210,0.917,0.667,0.1513,0.0360725329092678,0.833,210,1,1
"Pt65","run066",-0.0253676476186279,54,58,0.482142857142857,0.517857142857143,32,30,0.0761904761904762,0.0714285714285714,0.1442,0.0286742056129809,0.857,210,1,1,0.1545,0.0315682333539477,0.862,210,1,1
"Pt66","run067",-0.0899553529724972,58,54,0.517857142857143,0.482142857142857,32,33,0.0761904761904762,0.0785714285714286,0.1578,0.0317068645640073,0.852,210,1,1,0.1461,0.0339182642754072,0.848,210,0.909,0.636
"Pt67","run068",0.142338552131593,57,55,0.508928571428571,0.491071428571429,28,41,0.0666666666666667,0.0976190476190476,0.1403,0.0292267917267919,0.867,210,0.875,0.5,0.1643,0.0448979591836735,0.81,210,1,1
"Pt68","run069",0.133693440193057,60,52,0.535714285714286,0.464285714285714,39,28,0.0928571428571429,0.0666666666666667,0.1487,0.0408575551432695,0.819,210,0.867,0.467,0.1591,0.0262207105064247,0.876,210,1,1
"Pt69","run070",0.025963389610714,62,50,0.553571428571429,0.446428571428571,35,33,0.0833333333333333,0.0785714285714286,0.1487,0.0283584140726998,0.848,210,1,1,0.1487,0.0361791383219954,0.843,210,0.846,0.385
"Pt70","run071",-0.0513583842783491,38,74,0.339285714285714,0.660714285714286,30,37,0.0714285714285714,0.0880952380952381,0.1552,0.0260487528344673,0.862,210,1,1,0.1513,0.0390903937332509,0.829,210,0.929,0.714
"Pt71","run072",0.296695453343034,50,62,0.446428571428571,0.553571428571429,28,39,0.0666666666666667,0.0928571428571429,0.1461,0.0283776540919398,0.871,210,1,1,0.1526,0.0380019583591013,0.824,210,0.933,0.733
"Pt72","run073",-0.00053656357009037,81,31,0.723214285714286,0.276785714285714,45,19,0.107142857142857,0.0452380952380952,0.1597,0.0398567305710161,0.795,210,0.87,0.478,0.1396,0.0241321377035662,0.91,210,1,1
"Pt73","run074",0.0370598233220374,69,43,0.616071428571429,0.383928571428571,38,30,0.0904761904761905,0.0714285714285714,0.1578,0.0401401772830344,0.824,210,1,1,0.1422,0.0274144506287363,0.867,210,0.8,0.2
"Pt74","run075",0.154188196473641,58,54,0.517857142857143,0.482142857142857,33,35,0.0785714285714286,0.0833333333333333,0.1513,0.0325754496997539,0.852,210,1,1,0.1494,0.0333462172747888,0.838,210,0.929,0.714
"Pt75","run076",0.123609134332187,49,63,0.4375,0.5625,35,37,0.0833333333333333,0.0880952380952381,0.1481,0.0358719851576994,0.838,210,1,1,0.1461,0.0421992653810836,0.829,210,0.95,0.8
"Pt76","run077",0.174937946821653,71,41,0.633928571428571,0.366071428571429,38,31,0.0904761904761905,0.0738095238095238,0.1584,0.0497536590393733,0.819,210,1,1,0.1422,0.019342918985776,0.857,210,0.833,0.333
"Pt77","run078",0.306137162066998,60,52,0.535714285714286,0.464285714285714,33,35,0.0785714285714286,0.0833333333333333,0.1481,0.0332403480872868,0.852,210,1,1,0.1448,0.0366450216450216,0.833,210,0.882,0.529
"Pt78","run079",0.0382016034228169,52,60,0.464285714285714,0.535714285714286,33,34,0.0785714285714286,0.080952380952381,0.1461,0.0258714698000413,0.852,210,1,1,0.1526,0.0338906692153445,0.843,210,0.857,0.429
"Pt79","run080",-0.0927867180538166,47,65,0.419642857142857,0.580357142857143,32,33,0.0761904761904762,0.0785714285714286,0.1377,0.0289117118708955,0.848,210,0.857,0.429,0.1591,0.0288673061632245,0.857,210,1,1
"Pt80","run081",0.136738920701076,57,55,0.508928571428571,0.491071428571429,35,31,0.0833333333333333,0.0738095238095238,0.15,0.0315321583178727,0.843,210,0.75,0,0.1474,0.0298200052026583,0.857,210,1,1
"Pt81","run082",0.280343449361729,52,60,0.464285714285714,0.535714285714286,32,36,0.0761904761904762,0.0857142857142857,0.1481,0.0263448994316342,0.857,210,0.9,0.6,0.1604,0.0402267573696147,0.829,210,1,1
"Pt82","run083",0.297831540721601,56,56,0.5,0.5,35,35,0.0833333333333333,0.0833333333333333,0.1487,0.0365393733250876,0.833,210,1,1,0.1455,0.0329164089878375,0.848,210,0.9,0.6
"Pt83","run084",-0.0484195030084178,58,54,0.517857142857143,0.482142857142857,37,28,0.0880952380952381,0.0666666666666667,0.1519,0.0393286607572324,0.833,210,1,1,0.1539,0.029146052360338,0.867,210,1,1
"Pt84","run085",0.0523308970960552,68,44,0.607142857142857,0.392857142857143,40,27,0.0952380952380952,0.0642857142857143,0.1545,0.0370778484553994,0.824,210,1,1,0.1429,0.0289904143475572,0.871,210,1,1
"Pt85","run086",0.322439847647056,52,60,0.464285714285714,0.535714285714286,34,35,0.080952380952381,0.0833333333333333,0.1532,0.0321119356833644,0.848,210,1,1,0.1455,0.035940012368584,0.838,210,1,1
"Pt86","run087",-0.0823671277080061,50,62,0.446428571428571,0.553571428571429,25,39,0.0595238095238095,0.0928571428571429,0.1474,0.024647274494213,0.886,210,1,1,0.1604,0.0360647289218717,0.824,210,0.889,0.556
"Pt87","run088",0.0782066238037174,39,73,0.348214285714286,0.651785714285714,28,41,0.0666666666666667,0.0976190476190476,0.1409,0.0235405071119357,0.871,210,0.875,0.5,0.1617,0.0444461623033051,0.814,210,1,1
"Pt88","run089",-0.0730010520815671,54,58,0.482142857142857,0.517857142857143,33,33,0.0785714285714286,0.0785714285714286,0.1552,0.0343743558029273,0.852,210,1,1,0.1455,0.0301299890585605,0.843,210,0.9,0.6
"Pt89","run090",0.151699573288466,41,71,0.366071428571429,0.633928571428571,33,38,0.0785714285714286,0.0904761904761905,0.1442,0.0228684807256235,0.852,210,0.714,-0.143,0.1468,0.0478416821273964,0.824,210,1,1
"Pt90","run091",-0.0542111176338796,53,59,0.473214285714286,0.526785714285714,33,32,0.0785714285714286,0.0761904761904762,0.1636,0.0292547928262216,0.848,210,1,1,0.1422,0.0317024873703911,0.852,210,1,1
"Pt91","run092",0.362301638711515,50,62,0.446428571428571,0.553571428571429,25,44,0.0595238095238095,0.104761904761905,0.15,0.0257413419913419,0.89,210,1,1,0.1649,0.0417666460523604,0.795,210,0.917,0.667
"Pt92","run093",0.259156702744297,50,62,0.446428571428571,0.553571428571429,31,33,0.0738095238095238,0.0785714285714286,0.1422,0.0247772918691286,0.857,210,1,1,0.1474,0.042830859616574,0.848,210,1,1
"Pt93","run094",0.186304421474215,62,50,0.553571428571429,0.446428571428571,40,29,0.0952380952380952,0.0690476190476191,0.1617,0.0404411461554321,0.814,210,1,1,0.1442,0.0266867656153371,0.867,210,0.909,0.636
"Pt94","run095",0.0099965777213195,48,64,0.428571428571429,0.571428571428571,29,36,0.0690476190476191,0.0857142857142857,0.1481,0.0344655741084313,0.867,210,1,1,0.1532,0.0388281503077421,0.833,210,0.95,0.8
"Pt95","run096",0.121935076180507,47,65,0.419642857142857,0.580357142857143,35,36,0.0833333333333333,0.0857142857142857,0.1494,0.0376834673263244,0.838,210,1,1,0.1448,0.0347983546035494,0.838,210,0.833,0.333
"Pt96","run097",-0.0950735336855269,68,44,0.607142857142857,0.392857142857143,38,27,0.0904761904761905,0.0642857142857143,0.1526,0.0367140795712225,0.829,210,1,1,0.1532,0.0280277262420119,0.871,210,1,1
"Pt97","run098",0.229576897033305,57,55,0.508928571428571,0.491071428571429,30,40,0.0714285714285714,0.0952380952380952,0.1539,0.027137359994503,0.862,210,1,1,0.1487,0.037600494743352,0.819,210,0.9,0.6
"Pt98","run099",0.172201719471932,50,62,0.446428571428571,0.553571428571429,32,36,0.0761904761904762,0.0857142857142857,0.15,0.029215625644197,0.852,210,1,1,0.1494,0.0358144859675473,0.838,210,1,1
"Pt99","run100",-0.00134624022013321,49,63,0.4375,0.5625,29,37,0.0690476190476191,0.0880952380952381,0.1468,0.0279880437023296,0.867,210,1,1,0.1487,0.0351185322613894,0.829,210,0.895,0.579
