"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt27","run028",0.509002682920119,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1565,0.0335740789822422,0.838,210,1,1
"Pt28","run029",0.464757861829222,56,56,0.5,0.5,38,27,0.0904761904761905,0.0642857142857143,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1649,0.0296204156593769,0.871,210,1,1
"Pt29","run030",0.188802438653674,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1506,0.0314793341579056,0.843,210,0.833,0.333
"Pt30","run031",0.391440680629406,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1455,0.0332430598502027,0.843,210,0.833,0.333
"Pt31","run032",0.517452113581816,56,56,0.5,0.5,38,33,0.0904761904761905,0.0785714285714286,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.15,0.031146928468357,0.848,210,1,1
"Pt32","run033",0.149003892124734,56,56,0.5,0.5,38,36,0.0904761904761905,0.0857142857142857,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1552,0.0334757192920459,0.833,210,0.929,0.714
"Pt33","run034",0.250655273452294,56,56,0.5,0.5,38,37,0.0904761904761905,0.0880952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1656,0.0370034160850489,0.824,210,0.947,0.789
"Pt34","run035",0.567656761286518,56,56,0.5,0.5,38,36,0.0904761904761905,0.0857142857142857,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1545,0.0381394116087994,0.833,210,1,1
"Pt35","run036",0.527064406480581,56,56,0.5,0.5,38,38,0.0904761904761905,0.0904761904761905,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1591,0.0357352681332273,0.824,210,0.938,0.75
"Pt36","run037",0.450431922590804,56,56,0.5,0.5,38,30,0.0904761904761905,0.0714285714285714,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1539,0.0328949112112377,0.857,210,1,1
"Pt37","run038",0.243280207479229,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1526,0.0291354774889097,0.848,210,1,1
"Pt38","run039",0.336386869313347,56,56,0.5,0.5,38,32,0.0904761904761905,0.0761904761904762,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1526,0.0367151839090614,0.852,210,1,1
"Pt39","run040",0.404862756194713,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1617,0.0339677386105958,0.838,210,1,1
"Pt40","run041",0.306029035390064,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1552,0.0331403318903319,0.838,210,1,1
"Pt41","run042",0.347967224559032,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1532,0.0393458393458394,0.838,210,1,1
"Pt42","run043",0.343584295717905,56,56,0.5,0.5,38,30,0.0904761904761905,0.0714285714285714,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1474,0.0271015549076775,0.862,210,0.833,0.333
"Pt43","run044",0.46475643028605,56,56,0.5,0.5,38,35,0.0904761904761905,0.0833333333333333,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1545,0.0381776953205526,0.838,210,1,1
"Pt44","run045",0.419961954028384,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.161,0.0361090496804782,0.843,210,1,1
"Pt45","run046",0.476980414100148,56,56,0.5,0.5,38,37,0.0904761904761905,0.0880952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1494,0.0359258400329831,0.833,210,0.941,0.765
"Pt46","run047",0.55761318615643,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1552,0.0369023569023568,0.843,210,1,1
"Pt47","run048",0.503482150829224,56,56,0.5,0.5,38,30,0.0904761904761905,0.0714285714285714,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1526,0.0241399077113362,0.857,210,0.889,0.556
"Pt48","run049",0.280975743474508,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1532,0.0356408472479901,0.843,210,1,1
"Pt49","run050",0.308342697831778,56,56,0.5,0.5,38,33,0.0904761904761905,0.0785714285714286,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1519,0.0330679241393525,0.848,210,1,1
"Pt50","run051",0.260883198683925,56,56,0.5,0.5,38,34,0.0904761904761905,0.080952380952381,0.1461,0.033915687487116,0.829,210,0.95,0.8,0.1682,0.0346222629153984,0.838,210,1,1
