"","actor","subject","date","crowd","displace","total.DC","period","days"
"272","GGG","BBR","2020-03-24",1,0,1,"per0","first"
"273","GGG","BGB","2020-03-24",0,3,3,"per0","first"
"274","GGG","BGG","2020-03-24",0,7,7,"per0","first"
"275","GGG","BRR","2020-03-24",0,2,2,"per0","first"
"276","GGG","GGB","2020-03-24",3,0,3,"per0","first"
"277","GGG","GGR","2020-03-24",0,4,4,"per0","first"
"278","GGG","RBB","2020-03-24",0,6,6,"per0","first"
"279","GGG","RBG","2020-03-24",0,3,3,"per0","first"
"280","GGG","RBR","2020-03-24",0,1,1,"per0","first"
"281","GGG","RGG","2020-03-24",0,6,6,"per0","first"
"282","GGG","RGR","2020-03-24",0,1,1,"per0","first"
"283","GGG","RRG","2020-03-24",1,3,4,"per0","first"
"284","GGG","RRR","2020-03-24",0,5,5,"per0","first"
"285","GRG","BBR","2020-03-24",0,1,1,"per0","first"
"286","GRG","BGG","2020-03-24",0,1,1,"per0","first"
"287","GRG","BRB","2020-03-24",1,7,8,"per0","first"
"288","GRG","GGB","2020-03-24",1,10,11,"per0","first"
"289","GRG","GGG","2020-03-24",1,8,9,"per0","first"
"290","GRG","GRR","2020-03-24",0,5,5,"per0","first"
"291","GRG","RBB","2020-03-24",0,1,1,"per0","first"
"292","GRG","RBG","2020-03-24",0,3,3,"per0","first"
"293","GRG","RBR","2020-03-24",0,2,2,"per0","first"
"294","GRR","BBB","2020-03-24",0,1,1,"per0","first"
"295","GRR","BBR","2020-03-24",1,1,2,"per0","first"
"296","GRR","BGB","2020-03-24",0,2,2,"per0","first"
"297","GRR","BRB","2020-03-24",0,1,1,"per0","first"
"298","GRR","GGG","2020-03-24",1,0,1,"per0","first"
"299","GRR","RGG","2020-03-24",0,5,5,"per0","first"
"300","GRR","RRR","2020-03-24",0,1,1,"per0","first"
"301","RBG","RBR","2020-03-24",0,9,9,"per0","first"
"302","RBG","RGR","2020-03-24",0,7,7,"per0","first"
"303","RBR","BBB","2020-03-24",0,2,2,"per0","first"
"304","RBR","BBR","2020-03-24",0,4,4,"per0","first"
"305","RBR","BGB","2020-03-24",0,2,2,"per0","first"
"306","RBR","GGR","2020-03-24",0,2,2,"per0","first"
"307","RBR","GRR","2020-03-24",0,9,9,"per0","first"
"308","RBR","RBB","2020-03-24",0,1,1,"per0","first"
"309","RBR","RGG","2020-03-24",0,3,3,"per0","first"
"310","RBR","RRG","2020-03-24",0,2,2,"per0","first"
"311","RGG","BBR","2020-03-24",0,1,1,"per0","first"
"312","RGG","BGB","2020-03-24",1,0,1,"per0","first"
"313","RGG","BRB","2020-03-24",0,1,1,"per0","first"
"314","RGR","BBR","2020-03-24",0,3,3,"per0","first"
"315","RGR","BGB","2020-03-24",1,0,1,"per0","first"
"316","RGR","BGG","2020-03-24",1,1,2,"per0","first"
"317","RGR","BRB","2020-03-24",0,1,1,"per0","first"
"318","RGR","BRR","2020-03-24",0,2,2,"per0","first"
"319","RGR","GRR","2020-03-24",1,0,1,"per0","first"
"320","RGR","RBB","2020-03-24",1,5,6,"per0","first"
"321","RGR","RGG","2020-03-24",0,2,2,"per0","first"
"322","RGR","RRG","2020-03-24",0,3,3,"per0","first"
"323","RRG","BBB","2020-03-24",0,2,2,"per0","first"
"324","RRG","BBR","2020-03-24",0,1,1,"per0","first"
"325","RRG","BGB","2020-03-24",0,1,1,"per0","first"
"326","RRG","BGG","2020-03-24",0,1,1,"per0","first"
"327","RRG","GRR","2020-03-24",0,4,4,"per0","first"
"328","RRR","BGB","2020-03-24",0,1,1,"per0","first"
"329","RRR","BGG","2020-03-24",1,1,2,"per0","first"
"330","RRR","GRG","2020-03-24",0,1,1,"per0","first"
"331","RRR","RBB","2020-03-24",0,1,1,"per0","first"
"332","RRR","RBR","2020-03-24",0,6,6,"per0","first"
"333","RRR","RGR","2020-03-24",0,7,7,"per0","first"
"334","BBB","GGG","2020-03-27",1,2,3,"per0","last"
"335","BBB","GRR","2020-03-27",0,2,2,"per0","last"
"336","BBB","RRG","2020-03-27",0,2,2,"per0","last"
"337","BBG","BBB","2020-03-27",0,2,2,"per0","last"
"338","BBG","BGG","2020-03-27",0,1,1,"per0","last"
"339","BBG","BRB","2020-03-27",0,4,4,"per0","last"
"340","BBG","GBG","2020-03-27",0,3,3,"per0","last"
"341","BBG","GGB","2020-03-27",1,10,11,"per0","last"
"342","BBG","GGG","2020-03-27",1,10,11,"per0","last"
"343","BBG","GRG","2020-03-27",0,2,2,"per0","last"
"344","BBG","GRR","2020-03-27",0,1,1,"per0","last"
"345","BBG","RBB","2020-03-27",0,1,1,"per0","last"
"346","BBG","RRR","2020-03-27",0,2,2,"per0","last"
"347","BGB","BBB","2020-03-27",0,2,2,"per0","last"
"348","BGB","RRG","2020-03-27",0,1,1,"per0","last"
"349","BRB","BBB","2020-03-27",0,7,7,"per0","last"
"350","BRB","BRR","2020-03-27",0,2,2,"per0","last"
"351","BRR","BBB","2020-03-27",0,3,3,"per0","last"
"352","BRR","BGB","2020-03-27",0,1,1,"per0","last"
"353","BRR","BGG","2020-03-27",0,1,1,"per0","last"
"354","BRR","BRB","2020-03-27",0,1,1,"per0","last"
"355","BRR","RBB","2020-03-27",0,1,1,"per0","last"
"356","GBB","BBB","2020-03-27",1,9,10,"per0","last"
"357","GBB","BGG","2020-03-27",0,1,1,"per0","last"
"358","GBB","BRB","2020-03-27",1,3,4,"per0","last"
"359","GBB","GGB","2020-03-27",0,13,13,"per0","last"
"360","GBB","GGG","2020-03-27",3,47,50,"per0","last"
"361","GBB","GGR","2020-03-27",0,1,1,"per0","last"
"362","GBB","GRG","2020-03-27",0,1,1,"per0","last"
"363","GBB","GRR","2020-03-27",0,1,1,"per0","last"
"364","GBB","RBB","2020-03-27",0,1,1,"per0","last"
"365","GBB","RGR","2020-03-27",0,1,1,"per0","last"
"366","GBB","RRG","2020-03-27",0,2,2,"per0","last"
"367","GBG","BBB","2020-03-27",0,2,2,"per0","last"
"368","GBG","BBR","2020-03-27",0,1,1,"per0","last"
"369","GBG","BRB","2020-03-27",0,1,1,"per0","last"
